NSE Index	""	""	""	""	""	""
Ticker	NSE Index	CNX500	CPSE	NIFINDIAMANU	NIFMICCAP250	NIFTOTALMAR
Name	Nifty 50	Nifty 500	Nifty CPSE	Nifty India Manufacturing Index	Nifty Microcap 250 Index	Nifty Total Market
URL	https://strike-analytics-dev.netlify.app/stocks/nifty-50	https://strike-analytics-dev.netlify.app/stocks/nifty-500	https://strike-analytics-dev.netlify.app/stocks/nifty-cpse	https://strike-analytics-dev.netlify.app/stocks/nifty-india-manufacturing-index	https://strike-analytics-dev.netlify.app/stocks/nifty-microcap-250-index	https://strike-analytics-dev.netlify.app/stocks/nifty-total-market
2025-05-15 17:15:59.000000	24645.65	22526.2	6316.3	13976.15	22623.8	12667.85
2025-05-15 17:20:59.000000	24628.05	22516.85	6317.8	13977.65	22624.4	12662.85
2025-05-15 17:25:59.000000	24643.1	22526.95	6321.6	13988.3	22622.25	12668.25
2025-05-15 17:30:59.000000	24624.4	22511.5	6310.95	13976.4	22613.85	12659.7
2025-05-15 17:35:59.000000	24644.55	22527.85	6312.35	13984.15	22623.95	12668.75
2025-05-15 17:40:59.000000	24680.9	22549.95	6321.7	13993.0	22629.0	12680.85
2025-05-15 17:45:59.000000	24699.25	22563.45	6325.7	13996.75	22629.15	12688.15
2025-05-15 17:50:59.000000	24660.3	22533.75	6312.0	13980.0	22620.4	12671.9
2025-05-15 17:55:59.000000	24639.45	22519.95	6308.65	13970.35	22617.65	12664.35
2025-05-15 18:00:59.000000	24642.6	22520.85	6308.9	13971.0	22626.6	12665.05
2025-05-15 18:05:59.000000	24646.7	22528.75	6307.75	13972.3	22624.75	12669.25
2025-05-15 18:10:59.000000	24676.9	22546.8	6313.85	13982.5	22625.5	12679.05
2025-05-15 18:15:59.000000	24647.1	22528.85	6307.35	13974.05	22628.4	12669.4
2025-05-15 18:20:59.000000	24640.95	22521.1	6306.5	13967.3	22620.6	12665.05
2025-05-15 18:25:59.000000	24687.3	22549.6	6310.4	13982.1	22620.5	12680.45
2025-05-15 18:30:59.000000	24734.7	22578.9	6317.95	13997.3	22628.05	12696.5
2025-05-15 18:35:59.000000	24746.65	22585.75	6322.5	14002.9	22629.8	12700.25
